vol,ask,bid,open,close,high,low,start,end
1570019,74238.5,74224.5,2658.5,2657.25,2658.75,2645.5,2017-05-31 08:30:00,2017-05-31 15:45:00
1249268,74592.25,74578.5,2658.5,2672.25,2673.25,2655.5,2017-06-01 08:30:00,2017-06-01 15:45:00
1388464,74985.75,74972,2674,2679.5,2682.5,2669.75,2017-06-02 08:30:00,2017-06-02 15:45:00
749856,75043.75,75030,2678.5,2678,2681.75,2676.25,2017-06-05 08:30:00,2017-06-05 15:45:00
1101357,74896,74882.25,2670.5,2672.75,2678.5,2669.75,2017-06-06 08:30:00,2017-06-06 15:45:00
1119080,74872.25,74858.25,2675,2674.5,2677.75,2666.75,2017-06-07 08:30:00,2017-06-07 15:45:00
205054,74943.75,74929.75,2677,2676.5,2682.25,2670.5,2017-06-08 08:30:00,2017-06-08 15:45:00
1337394,75025,75011.25,2678.75,2674,2689,2658,2017-06-09 08:30:00,2017-06-09 15:45:00
1181071,74706.75,74692.75,2669.5,2672.25,2673,2662.25,2017-06-12 08:30:00,2017-06-12 15:45:00
1006271,75071.75,75057.75,2678,2684.5,2684.75,2674.25,2017-06-13 08:30:00,2017-06-13 15:45:00
1213994,77764.25,77749.75,2686.75,2680.75,2688.25,2671.25,2017-06-14 08:30:00,2017-06-14 15:30:00
1318032,74796.25,74782.25,2666.75,2678.5,2678,2661.75,2017-06-15 08:30:00,2017-06-15 15:45:00
1111613,77510.75,77496.5,2677.5,2677,2678.25,2665.75,2017-06-16 08:30:00,2017-06-16 15:30:00
1048995,75392,75378.25,2684.5,2693.25,2697,2684,2017-06-19 08:30:00,2017-06-19 15:45:00
1177103,75244.75,75230.75,2691.75,2682,2692.5,2679.5,2017-06-20 08:30:00,2017-06-20 15:45:00
1134689,75030,75016.25,2683,2677,2685.5,2673.5,2017-06-21 08:30:00,2017-06-21 15:45:00
900096,75085,75071.5,2677.5,2677.25,2684.5,2675.5,2017-06-22 08:30:00,2017-06-22 15:45:00
1070945,75074.25,75060.25,2679.75,2678.5,2684.25,2673.75,2017-06-23 08:30:00,2017-06-23 15:45:00
1118451,75212.75,75199,2687.75,2682,2693,2679.5,2017-06-26 08:30:00,2017-06-26 15:45:00
1457455,74920,74906,2679.5,2664.25,2682.5,2662,2017-06-27 08:30:00,2017-06-27 15:45:00
1246536,75082.75,75068.75,2673,2685.25,2686,2671,2017-06-28 08:30:00,2017-06-28 15:45:00
2100261,74675,74661,2684.75,2666.25,2686,2647.75,2017-06-29 08:30:00,2017-06-29 15:45:00
1358118,74752.75,74738.75,2669,2665.75,2675.25,2664,2017-06-30 08:30:00,2017-06-30 15:45:00
618780,42852.75,42845,2677.75,2669.25,2682,2667.5,2017-07-03 08:30:00,2017-07-03 17:15:00
35920,40106.75,40099.75,2674,2671.5,2675.75,2669,2017-07-04 08:30:00,2017-07-04 17:15:00
968390,74868.5,74854.5,2674.25,2675,2677.75,2664.75,2017-07-05 08:30:00,2017-07-05 15:45:00
1364926,77168.75,77154.5,2665.75,2653.75,2667.75,2650.75,2017-07-06 08:30:00,2017-07-06 15:30:00
1033614,74662.25,74648.25,2658.75,2668.25,2670.5,2657.25,2017-07-07 08:30:00,2017-07-07 15:45:00
715081,77494,77479.5,2666.75,2670,2675.5,2664.75,2017-07-10 08:30:00,2017-07-10 15:30:00
1006064,74706,74692.5,2668.5,2670.25,2672.75,2655.75,2017-07-11 08:30:00,2017-07-11 15:45:00
